,nct_id,brief_title,official_title,agency,agency_class,collaborator_agency,brief_summary,detailed_description,overall_status,phase,study_type,has_expanded_access,intervention,intervention_type,intervention_name,lead_sponsor_agency,primary_completion_date,start_date,completion_date,gender,minimum_age,maximum_age,healthy_volunteers,why_stopped,conditions,keywords,inclusion_criteria,exclusion_criteria
0,NCT03178747,Tzanck Smear With Methylene Blue Stain for Herpes,"A Comparative Study of Tzanck Smear With Methylene Blue Versus Giemsa Stain to Diagnose Herpes Simplex, Herpes Zoster and Varicella Zoster Skin Infections",Chulalongkorn University,Other,Dermatological Society of Thailand,"
      To compare the sensitivity of Tzanck smear with methylene blue stain versus traditional
      Giemsa stain in patients with herpes infection.
    ","
      A smear from the lesional skin of the patients suspected having Herpes simplex, Herpes zoster
      and Varicella zoster skin infections will be collected (in a clinical routine setting). The
      specimen will be stained with methylene blue in addition to the Giemsa stain. Polymerase
      chain reaction study for herpes antigen will be performed in some of the specimens. The
      sensitivity, specificity, positive predictive value and negative predictive value will be
      calculated from the results of the study.
    ",Unknown status,Phase 3,Interventional,No,"
    ",Diagnostic Test,Methylene blue,<Element 'agency' at 0x7f7b742e8310>,"December 7, 2017","March 7, 2017","March 6, 2018",All,18 Years,,No,,"['Varicella Zoster', 'Herpes Zoster', 'Herpes Simplex']","['Tzanck smear', 'Giemsa', 'Methylene blue']","-  patients with clinically suspected of having herpes simplex, herpes zoster, varicella
             zoster skin infections.

          -  Those who have vesicular skin lesion such as acute eczema, Paederus dermatitis.

          -  Those are well cooperative.

          -  Age > 18 years old.",-  Those who are not willing to have specimen from skin lesions to be collected.
1,NCT03171714,Derma-Stent Novel Abscess Packing Device,Derma-Stent Novel Abscess Packing Device (Pilot Study),"Aaron Brody, MD, MPH",Other,Mar-Med,"
      In this research study, a device called the Derma-Stent will be tested. The sponsor of the
      study, Mar-Med Company, will supply the device. This device is used to drain a cutaneous
      abscess, which is a skin infection that results in buildup of pus under the skin. Currently,
      the normal treatment for this abscess is to cut and drain and the wound, and later pack the
      wound with gauze. Packing is done to prevent the pus to accumulate again. But regular gauze
      is difficult for patient to remove themselves, so another visit to the doctor is usually
      necessary. The Derma-Stent device will be tested to see how easily patients can remove this
      by themselves and if it is less painful and more effective than normal gauze packing.
    ","
      Background:

      Cutaneous abscess is an infectious condition that affects millions of people each year, and
      the incidence is on the rise. Between 1993 and 2005, the annual number of emergency
      department (ED) visits for skin and soft tissue infections increased from 1.2 to 3.4 million,
      and this largely attributed to a rise in the prevalence of Methicillin Resistant
      Staphylococcus Aureus (MRSA) in the community.

      The standard treatment for cutaneous abscess is incision and drainage at bedside in the ED.
      Following this procedure, many clinicians insert a strip of gauze, known as packing, to
      maintain the open surgical incision, enhance drainage, and prevent re-accumulation of the
      abscess. If the abscess is packed, patients typically have to return in 2-3 days for a repeat
      visit to have the packing removed. The present standard of care, gauze packing, is difficult
      for patients to remove alone, as the packing itself becomes impregnated with pus and blood.
      Additionally, the packing procedure can be painful, despite the use of local anesthetics.

      A newer approach advocates for the use of a silicon string, known as a PDS loop for purposes
      of packing and drainage. While this approach can reduce pain, and is equally effective in
      terms of healing time, and treatment failure, the PDS, or Vessiloop is not readily available
      in emergency departments and outpatient clinics, as it is a specialized sterile surgical
      device used in vascular procedures. Furthermore, this procedure does not facilitate
      irrigation of the abscess cavity, since a much smaller incision is made. Finally, the PDS
      loop requires a surgical knot which may come loose.

      Objective:

      To investigate the use of a novel silicon packing device, the Derma-Stent™. The novel device
      will facilitate self removal by patients, as it has a narrower profile, and, as a
      nonabsorbent material, will not become saturated with bodily fluids. Although it will not
      absorb body fluids, it is believed that the Derma-stent will achieve the objective of wound
      healing by maintaining the opening of the surgical incision.

      Hypothesis:

      The acceptability of self removal will be significantly higher for the novel device.

      Study Protocol:

      ED Visit

        1. Abscess measured by ultrasound. Study will be performed by a trained research assistant,
           and will be verified by a physician certified to interpret soft tissue sonographic
           images.

        2. Abscess photographed, with measurement tape, to allow for objective measurement of skin
           induration and erythema.

        3. Abscess will be incised and drained, utilizing standard of care technique, with local
           anesthetic

        4. Packing performed according to randomization group.

        5. Sterile dressing applied.

        6. Subject completes assessment form - pain scale.

        7. Practitioner fills out assessment form - ease of use.

      Follow up visit 1 - 3-5 days

        1. Removal of packing. Subjects will be asked to remove packing on their own under
           supervision of the physician. Physician will remove the packing if they not able to.

        2. Measurement of abscess diameter and volume, utilizing measuring tape, photograph, and
           point of care ultrasound.

        3. Practitioner and subject assessment form as above, but adding ease of procedure, and
           likelihood that subject would have removed packing at home.

      Follow up visit 2 - 24-32 days

        1. Assessment of residual erythema and fluid collection by measurement, photograph, and US

        2. Practitioner and subject assessment including global satisfaction, and satisfaction with
           cosmetic result.

      Adverse Effects:

      If physician is impressed that the wound is not appropriately at either f/u visit,
      antibiotics may be prescribed, and repacking may be performed, utilizing gauze packing strip.
      Use of antibiotics for abscess is controversial and most physicians prescribe these on a case
      by case basis. Antibiotics will be prescribed at the discretion of the physician and not
      related to the study protocol.

      Population:

      Convenience sample of adult patients presenting with uncomplicated cutaneous abscess amenable
      to bedside drainage to either DRH or SGH ED.

      Sample size calculation:

      As this is a hypothesis generating study, and the effect size is unknown, formal sample size
      calculation was not performed. 60 patients was chosen as the sample size.
    ",Unknown status,Phase 1/Phase 2,Interventional,No,"
    ",Device,Derma-Stent,<Element 'agency' at 0x7f7b742eb740>,"November 30, 2017","March 27, 2017","December 15, 2017",All,18 Years,90 Years,No,,['Cutaneous Abscess'],['Drainage Catheter'],"1. ED patient > 18, < 90.

          2. Abscess total dimensions (z+y+z) by ultrasound greater or equal to 5 cm.

          3. Consent to participate in research protocol.

          4. Assessment by attending physician that the abscess will require packing.","1. Patients requiring admission for skin and soft tissue infection.

          2. Abscess drainage requiring procedural sedation.

          3. Abscesses requiring incision and drainage in the operating room.

          4. Inability to comprehend consent and follow up instructions.

          5. Prisoners.

          6. Pregnant women."
2,NCT03176576,Patient Navigation in the Adolescent and Young Adult (AYA) Cancer Population,Patient Navigation in the Adolescent and Young Adult (AYA) Cancer Population,H. Lee Moffitt Cancer Center and Research Institute,Other,,"
      The purpose of this study is to develop and test a model of patient navigation that
      investigators hope will address the unique needs of adolescent and young adult (AYA) cancer
      patients and their families by minimizing barriers in their care and potentially improving
      the outcomes of their treatment while reducing distress and enhancing quality of life.
      Investigators plan to achieve this by increasing access to, and use of, the resources
      available at Moffitt Cancer Center for AYA patients and their families.
    ","
      Up to 80 participants may be recruited to this study at Moffitt Cancer Center to obtain a
      final sample size of 60 completed participants.

      Participants will be identified in consultation with the patient's primary oncologist and
      program social worker. A research assistant (RA) will verify eligibility and consent eligible
      patients.

      After completing a baseline questionnaire, participants will be randomly placed into one of
      two groups. Both groups will receive their normal care, but one group will also meet with a
      patient navigator. Participants in both groups will be asked to complete a follow-up
      questionnaire approximately 8 to 10 weeks from when they complete the baseline questionnaire.
      The follow-up questionnaire will take about 15 to 20 minutes to complete.

      Participation in the study will last about 10 weeks.
    ",Completed,,Interventional,No,"
    ",Behavioral,Patient Navigator (PN),<Element 'agency' at 0x7f7b742e9ee0>,"June 7, 2019","June 13, 2017","August 20, 2021",All,18 Years,39 Years,No,,['Cancer'],"['teen cancer', 'satisfaction survey', 'support resources', 'distress levels', 'supportive care', 'questionnaire', 'patient navigation', 'reduce stress', 'quality of life', 'adolescents and young adults (AYA)', 'cancer among young adults', 'cancer among adolescents']","-  Patients 18 to 39 years old.

          -  Will undergo chemotherapy and/or radiotherapy and/or surgery with no plans to undergo
             a transplant procedure within the next 3 months.

          -  Have no previous cancer history other than non-melanoma skin cancer.

          -  Able to speak and read English.

          -  Able to provide written informed consent.",-  Does not meet any of the Inclusion Criteria.
3,NCT03173261,Role of Genexpert in Extra Pulmonary Tuberculosis,Role of Genexpert in Extra Pulmonary Tuberculosis,Assiut University,Other,,"
      Diagnosis of extra pulmonary tuberculosis remains especially challenging since the number of
      Mycobacterium tuberculosis bacilli present in tissues at sites of disease is often low and
      clinical specimens from deep-seated organs may be difficult to obtain. Histology is
      time-consuming to undertake and establishing a diagnosis of tuberculosis with high
      specificity remains difficult. Tissue microscopy after special staining is often negative and
      when mycobacteria are seen, it is impossible to distinguish Mycobacterium tuberculosis from
      non tuberculous mycobacterial disease. Reliance on culture, the mainstay of diagnosis, often
      leads to considerable delays, compromising patient care and outcomes.

      Evidence from 138 studies published before 2008 suggested that nucleic acid amplification
      technologies could not replace conventional mycobacterial tests (microscopy, culture) for
      diagnosing pulmonary and, especially, extra pulmonary tuberculosis
    ","
      Only a few years later, GeneXpert technology has changed this paradigm, with a recent
      systematic review showing pooled sensitivity of 88% and pooled specificity of 98% for
      diagnosis of pulmonary tuberculosis, but evidence (as of March 2012) for using Xpert MTB/RIF
      for diagnosing extra pulmonary tuberculosis is still comparatively weak Globally, there is
      still a dearth of studies involving the use of Xpert MTB/RIF in extra pulmonary tuberculosis
      specimens, and few provide definitive answers. This is due mostly to the studies having small
      sample sizes across a range of various specimen types and differences in pre-processing
      methodologies and in input volumes and to studies having been conducted in different
      populations (adults, children, Human immunodeficiency virus infected).
    ",Unknown status,,Interventional,No,"
    ",Diagnostic Test,Genexpert,<Element 'agency' at 0x7f7b742eb1f0>,April 2018,June 2017,September 2018,All,16 Years,90 Years,No,,['Extra Pulmonary Tuberculosis'],[],-  All patients with extra pulmonary tuberculosis,"-  Severe co morbid diseases.

          -  pulmonary tuberculosis

          -  patients refuse to do genexpert or refusing"
4,NCT03173274,Incentives to Promote Smoking Cessation in Low SES Women,Incentives to Promote Smoking Cessation in Low SES Women,Brown University,Other,,"
      The purpose of this study is to investigate the feasibility of a mobile-phone based
      contingency management (CM) intervention for smoking in low-SES women. The CM intervention
      will be combined with a Brief Motivational Interviewing (BMI) counseling component. This
      study will examine the following research aims:

      Primary Aim: To compare the effects of a Brief Motivational Intervention (BMI) + mobile
      phone-based CM on tobacco use when compared to BMI with a non-contingent control condition in
      a small feasibility trial.

      Hypothesis: The investigators expect women in the BMI + CM condition to have more smoke free
      days than women in the BMI + NC condition.

      Secondary Aim: To examine alcohol use as a moderator of cessation outcomes.
    ","
      Cigarette smoking is the leading cause of preventable death in the United States, accounting
      for one out of every five deaths (CDC, 2012). In particular, smoking prevalence rates are
      high among socioeconomically-disadvantaged women; for example, over 40% of women with less
      than 12 yrs education smoke, compared to 28% and 16% among those with some college and
      undergraduate degrees (SAMHSA, 2010). Smoking cessation rates are particularly low among
      low-SES women with co-occurring alcohol use disorders, and these substances are frequently
      used together (Kahler et al., 2010; Businelle et al., 2013). Therefore, interventions that
      reduce both alcohol and smoking among heavy alcohol-using women are vitally needed to reduce
      rates of smoking-related morbidity and mortality in this vulnerable population.

      Counseling approaches that incorporate problem solving, skills training and social support
      are effective for reducing smoking in the general population (Fiore et al., 2008). However,
      given the high rates of smoking among alcohol-using women, they may be inadequate for in this
      population. Contingency management (CM) interventions, which provide tangible reinforcers
      contingent upon smoking abstinence or reduction to a criterion level, are highly-efficacious
      interventions for reducing cigarette smoking and other drug use in low-SES women (Higgins et
      al., 2012). Within the theoretical framework of operant conditioning, increasing the
      availability of an alternative reinforcer weakens the amount of control that the drug has
      over the user's behavior, especially when obtaining the alternative reinforcer is contingent
      on behaviors incompatible with drug use (Higgins, 1997). The tenets of CM interventions
      include (1) arranging the environment such that the target behavior can be readily and
      objectively detected, (2) providing a tangible reinforcer when the target behavior occurs,
      and (3) withholding reinforcement when the target behavior does not occur (Higgins et al.,
      1994).

      Although CM interventions clearly are effective at promoting smoking reductions, there are
      several challenges associated with translating CM into an effective clinical treatment for
      smoking. Perhaps the most significant challenge is the frequent monitoring necessary to
      objectively verify smoking abstinence using breath carbon monoxide (CO), the most convenient
      objective measure of smoking status. Because of the short half-life of CO (5-6 hours), CO
      levels must be measured at least twice per day in order to verify continuous abstinence.
      Recent CM-smoking studies have addressed this feasibility challenge by providing study
      participants with breath CO monitors and laptop computers or smartphones to use in their own
      natural environments (e.g., Dallery, Raiff & Grabinski, 2013). Participants are taught how to
      use their smartphones to text videos of themselves providing a breath CO level to a research
      staff member, twice per day. After the study staff has determined that the breath CO sample
      meets the abstinence criterion, participants are informed of the amount that they have earned
      for that sample.

      Given the high rates of smoking in low-SES women, investigating the additive impact of an
      in-person brief counseling intervention and a phone-based CM intervention is an important
      next step in examining effective methods to reduce the impact of smoking in this population.
    ",Terminated,,Interventional,No,"
    ",Behavioral,Brief Motivational Intervention,<Element 'agency' at 0x7f7b742e8630>,"March 3, 2018","February 8, 2018","March 3, 2018",Female,18 Years,,No,"
    Grant funding ended for pilot work
  ",['Nicotine Dependence'],[],"-  Age 18+

          -  Smoke an average of at least ten cigarettes per day for at least 1 year

          -  Breath CO levels > 8 ppm

          -  >12 years of education

          -  Reliable and consistent access to a smart phone with video messaging capabilities","-  Intention to quit smoking in the next 30 days

          -  Currently seeking treatment for smoking cessation.

          -  Currently using nicotine replacement therapies or other pharmacotherapies as cessation
             aid (intermittent use acceptable)

          -  No reliable access to a video-messaging smart phone

          -  Pregnancy"
5,NCT03171870,Characteristics and Health Related Quality of Life in Idiopathic Pulmonary Fibrosis,"Clinical, Radiological Characteristics and Health Related Quality of Life in Idiopathic Pulmonary Fibrosis Patients",Assiut University,Other,,"
      Idiopathic pulmonary fibrosis is defined as a specific form of chronic, progressive fibrosing
      interstitial pneumonia of unknown cause, occurring primarily in older adults, limited to the
      lungs, and associated with the histopathologic and/or radiologic pattern of usual
      interstitial pneumonia.

      The definition of Idiopathic pulmonary fibrosis requires the exclusion of other forms of
      interstitial pneumonia including other idiopathic interstitial pneumonias and Interstitial
      lung disease associated with environmental exposure, medication, or systemic disease.

      Prevalence estimates for Idiopathic pulmonary fibrosis have varied from 2 to 29 cases per
      100,000 in the general population IPF should be considered in all adult patients with
      unexplained chronic exertional dyspnea, and commonly presents with cough, bibasilar
      inspiratory crackles, and finger clubbing.
    ","
      Idiopathic pulmonary fibrosis should be considered in all adult patients with unexplained
      chronic exertional dyspnea, and commonly presents with cough, bibasilar inspiratory crackles,
      and finger clubbing.

      High resolution chest computed tomography is an essential component of the diagnostic pathway
      in Idiopathic pulmonary fibrosis. usual interstitial pneumonia is characterized on high
      resolution chest computed tomography by the presence of reticular opacities, often associated
      with traction bronchiectasis.

      Patients with interstitial lung disease have poor health-related quality of life. However,
      whether health-related quality of life differs among different subtypes of interstitial lung
      disease is unclear.

      There is limited research on the health-related quality of life of Idiopathic pulmonary
      fibrosis patients.

      Health-related quality of life deficits should be monitored in clinical practice with
      Idiopathic pulmonary fibrosis patients and considered when investigating new therapies
    ",Unknown status,,Interventional,No,"
    ",Diagnostic Test,high resolution computed tomography,<Element 'agency' at 0x7f7b742eb240>,June 2018,June 2017,June 2018,All,,,No,,['Idiopathic Pulmonary Fibrosis'],[],"-  Idiopathic Pulmonary fibrosis will be diagnosed by presence of UIP pattern. Other
             forms of ILD will be diagnosed using HRCT by presence of Reticular abnormality
             Honeycombing with or without traction Extensive ground glass abnormality.

          -  Profuse micronodules.",-  Patients who refused to participate in the study.
6,NCT03179046,Cardiac and Laboratory Findings in Patients With Systemic Lupus Erythematosus,Association of Heart Structure and Function Abnormalities With Laboratory Findings in Patients With Systemic Lupus Erythematosus,Assiut University,Other,,"
      This study is designed to investigate the association of the clinical and laboratory
      parameters or data with the cardiac structural and functional abnormalities in systemic lupus
      erythematosus(SLE). Patients with at least four ACR classification criteria for SLE and
      stable clinical condition (no need for immunosuppressive therapy intensification, i.e.
      current immunosuppressive drug dose increase or introduction of an additional
      immunosuppressive drug within last 3 months) will be included in the study. Study procedures
      will include clinical evaluation, lab tests including blood counts, liver and kidney
      functions and antibodies levels such as ANA, antiphospholipid antibodies, anti-ds DNA as well
      as inflammatory markers such as sedimentation rates. Also evaluation of cardiac status by
      cardiologist examination echocardiography and gadolinium enhanced cardiac MRI. Next,
      correlation between cardiac abnormalities and laboratory changes will be statistically
      analyzed.
    ","
      -  Subject recruitment and obtaining consent Study subjects (SLE patients) will be
           recruited from patients attending outpatient clinic and inpatients of the Rheumatology
           and Rehabilitation Department, Faculty of Medicine, Assiut University. Written informed
           consent form will be obtained from each patient.

        -  Baseline evaluation:

             1. All SLE patients selected for the study will fulfill the ACR criteria for the
                diagnosis of SLE .

             2. Thorough clinical history and examination will be performed to all SLE patients.
                Pulmonary function (PFTs) test will be performed to exclude respiratory failure.

             3. Urine pregnancy test to exclude pregnancy will be performed to all SLE females'
                patients of the childbearing period in the study group.

        -  Laboratory tests: the following tests will be performed to all study population:

             1. Complete blood count (CBC),

             2. Liver and kidney functions and measurement of protein in urine collected over 24
                hours,

             3. Levels of Erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP).

             4. Antinuclear antibodies (ANA) and their titer will be assessed by indirect
                immunofluorescence,

             5. Complement system C3 and C4 factors will be measured to determine disease activity,

             6. Serum levels of anticardiolipin (aCL) and lupus anticoagulant antibodies will be
                measured using ELISA.

        -  Disease activity will be assessed by using SELDAI score [11].

        -  Cardiac evaluation

             1. Echocardiography will be performed to evaluate structural and functional outcome
                measures.

             2. Cardiac MRI: Multiple consecutive MR image sections will be obtained from the apex
                to the base of the heart. T2 and T1 mapping will be performed. T1-weighted
                inversion recovery scout images will be acquired 15 min after injection of 0.2
                mmol/kg of gadolinium based contrast agent. The functional and volumetric analysis
                will be performed to quantify ventricular volumes and functions.
    ",Completed,,Observational,No,"
    ",Diagnostic Test,Laboratory tests and cardiac imaging,<Element 'agency' at 0x7f7b742e8540>,"April 1, 2019","April 1, 2018","July 1, 2019",All,18 Years,,No,,['Systemic Lupus Erythematosus'],[],"-  Patients have at least four ACR classification criteria for SLE.

          -  Stable clinical condition (no need for immunosuppressive therapy intensification, i.e.
             current immunosuppressive drug dose increase or introduction of an additional
             immunosuppressive drug within last 3 months).","-  Patients less than 18 years old

          -  Clinical symptoms of heart failure.

          -  Renal failure (creatinine clearance < 30 ml/ min).

          -  Respiratory failure.

          -  Pregnancy.

          -  Patients with contraindications for MRI e.g. patients with aneurysm clips or cardiac
             pacemakers and patients who are sensitive to gadolinium dye."
7,NCT03178695,Inovium Ovarian Rejuvenation Trials,Autologous Platelet-Rich Plasma (PRP) Infusions and Biomarkers of Ovarian Rejuvenation and Aging Mitigation,Ascendance Biomedical,Industry,,"
      The Inovium Ovarian Rejuvenation Treatment is a PRP-based autologous treatment used in
      combination with a stimulated IVF sequence and Pre-Implantation Genetic Screening to treat
      infertility in women experiencing menopause, perimenopause, and premature ovarian failure.
    ","
      This research extends earlier work conducted by Inovium associates in Athens, Greece who
      demonstrated efficacy of intraovarian injection of autologous PRP for resumption of menses,
      hormone stabilization, and conception after IVF in multiple women following PRP+natural cycle
      IVF (i.e., without gonadotropin stimulation). The use of stimulation (gonadotropins) and
      targeted pre- and posttreatment hormone monitoring during this clinical trial aims to
      characterize more fully the transition from PRP dosing, embryogenesis, IVF and conception.

      The current study seeks to describe how PRP works to rejuvenate immune system and ovarian
      stem cells, restore menses, provide hormone stability, and generate successful IVF sequences
      and conceptions. The quality of all embryos generated will be studied via PGS, with the goal
      of generating euploid embryos. Hormone stability and biomarkers of aging will also be
      evaluated to understand the extent of any observed benefits, and to estimate how long such
      effects may be sustained with a single PRP treatment.

      Autologous activated PRP used in this clinical study is isolated from patient derived (blood)
      samples collected on-site, using FDA-approved Regenlab [Lausanne, Switzerland] BCT-1 PRP Kit
      and RegenLab Drucker Centrifuge (FDA 510(k)-Approval #BK110061; ISO#13485).
    ",Completed,Phase 1,Interventional,No,"
    ",Other,Autologous PRP injection into human ovarian tissue,<Element 'agency' at 0x7f7b742eb510>,"May 1, 2018","June 1, 2017","May 1, 2018",Female,35 Years,,Accepts Healthy Volunteers,,"['Infertility Unexplained', 'Infertility, Female', 'Infertility', 'Premature Ovarian Failure 8', 'Premature Ovarian Failure 9', 'Premature Ovarian Failure 7', 'Premature Ovarian Failure 6', 'Premature Ovarian Failure 5', 'Premature Ovarian Failure 1', 'Premature Ovarian Failure 4', 'Premature Ovarian Failure 3', 'Premature Ovarian Failure 2A', 'Premature Ovarian Failure, Familial', 'Premature Ovarian Failure', 'Menopause Premature Asymptomatic', 'Menopause Premature Symptomatic', 'Menopause Related Conditions', 'Menopause, Premature', 'Menopause', 'Perimenopausal Disorder']","['Premature Ovarian Failure', 'Perimenopause', 'Menopause', 'Pregnancy', 'Infertility']","-  Signed and dated informed consent

          -  Women over the age of 35

          -  Primary or secondary amenorrhea at least for 3-6 months

          -  Presence of at least one ovary

          -  Agree to report any pregnancy to the research staff immediately.

          -  Willing and able to comply with study requirements.

          -  Willing to receive IVF to get pregnant as part of the experimental protocol.","-  Men will be excluded from the study.

          -  Current or previous IgA deficiency

          -  Current or previous premature ovarian failure due to a genetic origin, such as
             Turner's Syndrome or chromosomal abnormality

          -  Current or previous great injuries or adhesions to the pelvis or ovaries

          -  Current and ongoing pregnancy

          -  Current and ongoing anticoagulant use for which plasma infusion appears
             contraindicated

          -  Current and ongoing major Mental health disorder that precludes participation in the
             study

          -  Current and ongoing active substance abuse or dependence

          -  Current and ongoing gynecological or non-gynecological cancer

          -  Current and ongoing chronic pelvic pain"
8,NCT03179982,Integrated Prevention of HIV Risk and Intimate Partner Violence Among Adolescents in South Africa,Integrated Prevention of HIV Risk and Intimate Partner Violence Among Adolescents in South Africa,Brown University,Other,"Medical Research Council, South Africa","
      The purpose of this study is to test the feasibility and acceptability of Safe South Africa,
      an integrated intervention for preventing HIV and Intimate Partner Violence perpetration for
      male adolescents 15-17 years of age.
    ","
      This study will investigate the acceptability and feasibility of Safe South Africa, an
      integrated intervention to prevent adolescent behavioral risk for human immunodeficiency
      virus (HIV) and perpetration of intimate partner violence (IPV). Safe South Africa is a
      theory-driven, developmentally-tailored and gender-specific intervention designed for male
      adolescents 15-17 years of age. The research will be conducted in South Africa, a country
      with the largest HIV epidemic and some of the highest rates of IPV perpetration in the world.
      Preventive interventions are urgently needed during adolescence when risk for human
      immunodeficiency virus (HIV) and intimate partner violence (IPV) increases exponentially.
      Yet, few behavioral interventions integrate HIV-IPV prevention and are tailored for the
      unique age and developmental needs of adolescents. We will investigate the acceptability and
      feasibility of Safe South Africa with three study aims: (1) a development aim - this aim will
      result in the creation of Safe South Africa, an integrated male adolescent preventive
      intervention for HIV risk behavior and IPV perpetration; (2) an acceptability aim - this aim
      will consist of an evaluation of the social ecology of HIV and IPV risk with a survey of
      N=100 of adolescents, and a test of the acceptability of Safe South Africa through an open
      pilot trial with N=20 male adolescents; and (3) a feasibility aim - this aim will consist of
      a randomized controlled pilot trial with 1- and 6-month follow-up in a sample of N=60 male
      adolescents to assess the feasibility and acceptability for a future fully powered randomized
      controlled trial to evaluate efficacy of the intervention.
    ",Completed,,Interventional,No,"
    ",Behavioral,Safe South Africa,<Element 'agency' at 0x7f7b742eb0b0>,"October 23, 2019","February 11, 2019","October 23, 2019",Male,15 Years,17 Years,Accepts Healthy Volunteers,,"['Intimate Partner Violence', 'Sexual Behavior']",[],"-  Male adolescent

          -  15-17 years of age, inclusive of 15 and 17","-  parent/guardian does not provide consent

          -  adolescent does not provide assent"
9,NCT03172650,Effect of Non-alcoholic Fatty Liver Disease on Kidney Functions,Effect of Non-alcoholic Fatty Liver Disease on Kidney Functions: Observational Case Control Study in Upper Egypt,Assiut University,Other,,"
      Non-alcoholic fatty liver disease is the most common cause of chronic liver disease
      worldwide. It is defined as the accumulation of fat (>5%) in the liver cells in the absence
      of excessive alcohol intake or other causes of liver disease including viral, drug-induced,
      or autoimmune. Non-alcoholic fatty liver disease is a hepatic manifestation of metabolic
      syndrome.
    ",,Unknown status,,Observational,No,"
    ",Diagnostic Test,glomerular filtration rate,<Element 'agency' at 0x7f7b742eb4c0>,July 2018,"July 1, 2017",September 2018,All,18 Years,70 Years,No,,['Liver Diseases'],[],,
